"X"	"Y"	"MASK"
100.009049	-23.170171	1.000000
102.009049	-23.170171	1.000000
104.009049	-23.170171	1.000000
106.009049	-23.170171	1.000000
108.009049	-23.170171	1.000000
110.009049	-23.170171	1.000000
112.009049	-23.170171	1.000000
114.009049	-23.170171	1.000000
116.009049	-23.170171	1.000000
118.009049	-23.170171	1.000000
120.009049	-23.170171	1.000000
122.009049	-23.170171	1.000000
124.009049	-23.170171	1.000000
126.009049	-23.170171	1.000000
128.009049	-23.170171	1.000000
130.009049	-23.170171	1.000000
132.009049	-23.170171	1.000000
134.009049	-23.170171	1.000000
136.009049	-23.170171	1.000000
138.009049	-23.170171	1.000000
140.009049	-23.170171	1.000000
142.009049	-23.170171	1.000000
144.009049	-23.170171	1.000000
146.009049	-23.170171	1.000000
148.009049	-23.170171	1.000000
150.009049	-23.170171	0.000000
152.009049	-23.170171	0.000000
154.009049	-23.170171	0.000000
156.009049	-23.170171	0.000000
10.009049	-21.170171	0.000000
12.009049	-21.170171	0.000000
14.009049	-21.170171	0.000000
16.009049	-21.170171	0.000000
18.009049	-21.170171	0.000000
20.009049	-21.170171	0.000000
22.009049	-21.170171	0.000000
24.009049	-21.170171	1.000000
26.009049	-21.170171	1.000000
28.009049	-21.170171	1.000000
30.009049	-21.170171	1.000000
32.009049	-21.170171	1.000000
34.009049	-21.170171	1.000000
36.009049	-21.170171	1.000000
38.009049	-21.170171	1.000000
40.009049	-21.170171	1.000000
42.009049	-21.170171	1.000000
44.009049	-21.170171	1.000000
46.009049	-21.170171	1.000000
48.009049	-21.170171	1.000000
50.009049	-21.170171	1.000000
52.009049	-21.170171	1.000000
54.009049	-21.170171	1.000000
56.009049	-21.170171	1.000000
58.009049	-21.170171	1.000000
60.009049	-21.170171	1.000000
62.009049	-21.170171	1.000000
64.009049	-21.170171	1.000000
66.009049	-21.170171	1.000000
68.009049	-21.170171	1.000000
70.009049	-21.170171	1.000000
72.009049	-21.170171	1.000000
74.009049	-21.170171	1.000000
76.009049	-21.170171	1.000000
78.009049	-21.170171	1.000000
80.009049	-21.170171	1.000000
82.009049	-21.170171	1.000000
84.009049	-21.170171	1.000000
86.009049	-21.170171	1.000000
88.009049	-21.170171	1.000000
90.009049	-21.170171	1.000000
92.009049	-21.170171	1.000000
94.009049	-21.170171	1.000000
96.009049	-21.170171	1.000000
98.009049	-21.170171	1.000000
100.009049	-21.170171	1.000000
102.009049	-21.170171	1.000000
104.009049	-21.170171	1.000000
106.009049	-21.170171	1.000000
108.009049	-21.170171	1.000000
110.009049	-21.170171	1.000000
112.009049	-21.170171	1.000000
114.009049	-21.170171	1.000000
116.009049	-21.170171	1.000000
118.009049	-21.170171	1.000000
120.009049	-21.170171	1.000000
122.009049	-21.170171	1.000000
124.009049	-21.170171	1.000000
126.009049	-21.170171	1.000000
128.009049	-21.170171	1.000000
130.009049	-21.170171	1.000000
132.009049	-21.170171	1.000000
134.009049	-21.170171	1.000000
136.009049	-21.170171	1.000000
138.009049	-21.170171	1.000000
140.009049	-21.170171	1.000000
142.009049	-21.170171	1.000000
144.009049	-21.170171	1.000000
146.009049	-21.170171	1.000000
148.009049	-21.170171	1.000000
150.009049	-21.170171	0.000000
152.009049	-21.170171	0.000000
154.009049	-21.170171	0.000000
156.009049	-21.170171	0.000000
10.009049	-19.170171	0.000000
12.009049	-19.170171	0.000000
14.009049	-19.170171	0.000000
16.009049	-19.170171	0.000000
18.009049	-19.170171	0.000000
20.009049	-19.170171	0.000000
22.009049	-19.170171	0.000000
24.009049	-19.170171	0.000000
26.009049	-19.170171	1.000000
28.009049	-19.170171	1.000000
30.009049	-19.170171	1.000000
32.009049	-19.170171	1.000000
34.009049	-19.170171	1.000000
36.009049	-19.170171	1.000000
38.009049	-19.170171	1.000000
40.009049	-19.170171	1.000000
42.009049	-19.170171	1.000000
44.009049	-19.170171	1.000000
46.009049	-19.170171	1.000000
48.009049	-19.170171	1.000000
50.009049	-19.170171	1.000000
52.009049	-19.170171	1.000000
54.009049	-19.170171	1.000000
56.009049	-19.170171	1.000000
58.009049	-19.170171	1.000000
60.009049	-19.170171	1.000000
62.009049	-19.170171	1.000000
64.009049	-19.170171	1.000000
66.009049	-19.170171	1.000000
68.009049	-19.170171	1.000000
70.009049	-19.170171	1.000000
72.009049	-19.170171	1.000000
74.009049	-19.170171	1.000000
76.009049	-19.170171	1.000000
78.009049	-19.170171	1.000000
80.009049	-19.170171	1.000000
82.009049	-19.170171	1.000000
84.009049	-19.170171	1.000000
86.009049	-19.170171	1.000000
88.009049	-19.170171	1.000000
90.009049	-19.170171	1.000000
92.009049	-19.170171	1.000000
94.009049	-19.170171	1.000000
96.009049	-19.170171	1.000000
98.009049	-19.170171	1.000000
100.009049	-19.170171	1.000000
102.009049	-19.170171	1.000000
104.009049	-19.170171	1.000000
106.009049	-19.170171	1.000000
108.009049	-19.170171	1.000000
110.009049	-19.170171	1.000000
112.009049	-19.170171	1.000000
114.009049	-19.170171	1.000000
116.009049	-19.170171	1.000000
118.009049	-19.170171	1.000000
120.009049	-19.170171	1.000000
122.009049	-19.170171	1.000000
124.009049	-19.170171	1.000000
126.009049	-19.170171	1.000000
128.009049	-19.170171	1.000000
130.009049	-19.170171	1.000000
132.009049	-19.170171	1.000000
134.009049	-19.170171	1.000000
136.009049	-19.170171	1.000000
138.009049	-19.170171	1.000000
140.009049	-19.170171	1.000000
142.009049	-19.170171	1.000000
144.009049	-19.170171	1.000000
146.009049	-19.170171	1.000000
148.009049	-19.170171	1.000000
150.009049	-19.170171	1.000000
152.009049	-19.170171	0.000000
154.009049	-19.170171	0.000000
156.009049	-19.170171	0.000000
10.009049	-17.170171	0.000000
12.009049	-17.170171	0.000000
14.009049	-17.170171	0.000000
16.009049	-17.170171	0.000000
18.009049	-17.170171	0.000000
20.009049	-17.170171	0.000000
22.009049	-17.170171	0.000000
24.009049	-17.170171	0.000000
26.009049	-17.170171	1.000000
28.009049	-17.170171	1.000000
30.009049	-17.170171	1.000000
32.009049	-17.170171	1.000000
34.009049	-17.170171	1.000000
36.009049	-17.170171	1.000000
38.009049	-17.170171	1.000000
40.009049	-17.170171	1.000000
42.009049	-17.170171	1.000000
44.009049	-17.170171	1.000000
46.009049	-17.170171	1.000000
48.009049	-17.170171	1.000000
50.009049	-17.170171	1.000000
52.009049	-17.170171	1.000000
54.009049	-17.170171	1.000000
56.009049	-17.170171	1.000000
58.009049	-17.170171	1.000000
60.009049	-17.170171	1.000000
62.009049	-17.170171	1.000000
64.009049	-17.170171	1.000000
66.009049	-17.170171	1.000000
68.009049	-17.170171	1.000000
70.009049	-17.170171	1.000000
72.009049	-17.170171	1.000000
74.009049	-17.170171	1.000000
76.009049	-17.170171	1.000000
78.009049	-17.170171	1.000000
80.009049	-17.170171	1.000000
82.009049	-17.170171	1.000000
84.009049	-17.170171	1.000000
86.009049	-17.170171	1.000000
88.009049	-17.170171	1.000000
90.009049	-17.170171	1.000000
92.009049	-17.170171	1.000000
94.009049	-17.170171	1.000000
96.009049	-17.170171	1.000000
98.009049	-17.170171	1.000000
100.009049	-17.170171	1.000000
102.009049	-17.170171	1.000000
104.009049	-17.170171	1.000000
106.009049	-17.170171	1.000000
108.009049	-17.170171	1.000000
110.009049	-17.170171	1.000000
112.009049	-17.170171	1.000000
114.009049	-17.170171	1.000000
116.009049	-17.170171	1.000000
118.009049	-17.170171	1.000000
120.009049	-17.170171	1.000000
122.009049	-17.170171	1.000000
124.009049	-17.170171	1.000000
126.009049	-17.170171	1.000000
128.009049	-17.170171	1.000000
130.009049	-17.170171	1.000000
132.009049	-17.170171	1.000000
134.009049	-17.170171	1.000000
136.009049	-17.170171	1.000000
138.009049	-17.170171	1.000000
140.009049	-17.170171	1.000000
142.009049	-17.170171	1.000000
144.009049	-17.170171	1.000000
146.009049	-17.170171	1.000000
148.009049	-17.170171	1.000000
150.009049	-17.170171	1.000000
152.009049	-17.170171	0.000000
154.009049	-17.170171	0.000000
156.009049	-17.170171	0.000000
10.009049	-15.170171	0.000000
12.009049	-15.170171	0.000000
14.009049	-15.170171	0.000000
16.009049	-15.170171	0.000000
18.009049	-15.170171	0.000000
20.009049	-15.170171	0.000000
22.009049	-15.170171	0.000000
24.009049	-15.170171	0.000000
26.009049	-15.170171	0.000000
28.009049	-15.170171	1.000000
30.009049	-15.170171	1.000000
32.009049	-15.170171	1.000000
34.009049	-15.170171	1.000000
36.009049	-15.170171	1.000000
38.009049	-15.170171	1.000000
40.009049	-15.170171	1.000000
42.009049	-15.170171	1.000000
44.009049	-15.170171	1.000000
46.009049	-15.170171	1.000000
48.009049	-15.170171	1.000000
50.009049	-15.170171	1.000000
52.009049	-15.170171	1.000000
54.009049	-15.170171	1.000000
56.009049	-15.170171	1.000000
58.009049	-15.170171	1.000000
60.009049	-15.170171	1.000000
62.009049	-15.170171	1.000000
64.009049	-15.170171	1.000000
66.009049	-15.170171	1.000000
68.009049	-15.170171	1.000000
70.009049	-15.170171	1.000000
72.009049	-15.170171	1.000000
74.009049	-15.170171	1.000000
76.009049	-15.170171	1.000000
78.009049	-15.170171	1.000000
80.009049	-15.170171	1.000000
82.009049	-15.170171	1.000000
84.009049	-15.170171	1.000000
86.009049	-15.170171	1.000000
88.009049	-15.170171	1.000000
90.009049	-15.170171	1.000000
92.009049	-15.170171	1.000000
94.009049	-15.170171	1.000000
96.009049	-15.170171	1.000000
98.009049	-15.170171	1.000000
100.009049	-15.170171	1.000000
102.009049	-15.170171	1.000000
104.009049	-15.170171	1.000000
106.009049	-15.170171	1.000000
108.009049	-15.170171	1.000000
110.009049	-15.170171	1.000000
112.009049	-15.170171	1.000000
114.009049	-15.170171	1.000000
116.009049	-15.170171	1.000000
118.009049	-15.170171	1.000000
120.009049	-15.170171	1.000000
122.009049	-15.170171	1.000000
124.009049	-15.170171	1.000000
126.009049	-15.170171	1.000000
128.009049	-15.170171	1.000000
130.009049	-15.170171	1.000000
132.009049	-15.170171	1.000000
134.009049	-15.170171	1.000000
136.009049	-15.170171	1.000000
138.009049	-15.170171	1.000000
140.009049	-15.170171	1.000000
142.009049	-15.170171	1.000000
144.009049	-15.170171	1.000000
146.009049	-15.170171	1.000000
148.009049	-15.170171	1.000000
150.009049	-15.170171	1.000000
152.009049	-15.170171	0.000000
154.009049	-15.170171	0.000000
156.009049	-15.170171	0.000000
10.009049	-13.170171	0.000000
12.009049	-13.170171	0.000000
14.009049	-13.170171	0.000000
16.009049	-13.170171	0.000000
18.009049	-13.170171	0.000000
20.009049	-13.170171	0.000000
22.009049	-13.170171	0.000000
24.009049	-13.170171	0.000000
26.009049	-13.170171	0.000000
28.009049	-13.170171	1.000000
30.009049	-13.170171	1.000000
32.009049	-13.170171	1.000000
34.009049	-13.170171	1.000000
36.009049	-13.170171	1.000000
38.009049	-13.170171	1.000000
40.009049	-13.170171	1.000000
42.009049	-13.170171	1.000000
44.009049	-13.170171	1.000000
46.009049	-13.170171	1.000000
48.009049	-13.170171	1.000000
50.009049	-13.170171	1.000000
52.009049	-13.170171	1.000000
54.009049	-13.170171	1.000000
56.009049	-13.170171	1.000000
58.009049	-13.170171	1.000000
60.009049	-13.170171	1.000000
62.009049	-13.170171	1.000000
64.009049	-13.170171	1.000000
66.009049	-13.170171	1.000000
68.009049	-13.170171	1.000000
70.009049	-13.170171	1.000000
72.009049	-13.170171	1.000000
74.009049	-13.170171	1.000000
76.009049	-13.170171	1.000000
78.009049	-13.170171	1.000000
80.009049	-13.170171	1.000000
82.009049	-13.170171	1.000000
84.009049	-13.170171	1.000000
86.009049	-13.170171	1.000000
88.009049	-13.170171	1.000000
90.009049	-13.170171	1.000000
92.009049	-13.170171	1.000000
94.009049	-13.170171	1.000000
96.009049	-13.170171	1.000000
98.009049	-13.170171	1.000000
100.009049	-13.170171	1.000000
102.009049	-13.170171	1.000000
104.009049	-13.170171	1.000000
106.009049	-13.170171	1.000000
108.009049	-13.170171	1.000000
110.009049	-13.170171	1.000000
112.009049	-13.170171	1.000000
114.009049	-13.170171	1.000000
116.009049	-13.170171	1.000000
118.009049	-13.170171	1.000000
120.009049	-13.170171	1.000000
122.009049	-13.170171	1.000000
124.009049	-13.170171	1.000000
126.009049	-13.170171	1.000000
128.009049	-13.170171	1.000000
130.009049	-13.170171	1.000000
132.009049	-13.170171	1.000000
134.009049	-13.170171	1.000000
136.009049	-13.170171	1.000000
138.009049	-13.170171	1.000000
140.009049	-13.170171	1.000000
142.009049	-13.170171	1.000000
144.009049	-13.170171	1.000000
146.009049	-13.170171	1.000000
148.009049	-13.170171	1.000000
150.009049	-13.170171	1.000000
152.009049	-13.170171	0.000000
154.009049	-13.170171	0.000000
156.009049	-13.170171	0.000000
10.009049	-11.170171	0.000000
12.009049	-11.170171	0.000000
14.009049	-11.170171	0.000000
16.009049	-11.170171	0.000000
18.009049	-11.170171	0.000000
20.009049	-11.170171	0.000000
22.009049	-11.170171	0.000000
24.009049	-11.170171	0.000000
26.009049	-11.170171	0.000000
28.009049	-11.170171	0.000000
30.009049	-11.170171	1.000000
32.009049	-11.170171	1.000000
34.009049	-11.170171	1.000000
36.009049	-11.170171	1.000000
38.009049	-11.170171	1.000000
40.009049	-11.170171	1.000000
42.009049	-11.170171	1.000000
44.009049	-11.170171	1.000000
46.009049	-11.170171	1.000000
48.009049	-11.170171	1.000000
50.009049	-11.170171	1.000000
52.009049	-11.170171	1.000000
54.009049	-11.170171	1.000000
56.009049	-11.170171	1.000000
58.009049	-11.170171	1.000000
60.009049	-11.170171	1.000000
62.009049	-11.170171	1.000000
64.009049	-11.170171	1.000000
66.009049	-11.170171	1.000000
68.009049	-11.170171	1.000000
70.009049	-11.170171	1.000000
72.009049	-11.170171	1.000000
74.009049	-11.170171	1.000000
76.009049	-11.170171	1.000000
78.009049	-11.170171	1.000000
80.009049	-11.170171	1.000000
82.009049	-11.170171	1.000000
84.009049	-11.170171	1.000000
86.009049	-11.170171	1.000000
88.009049	-11.170171	1.000000
90.009049	-11.170171	1.000000
92.009049	-11.170171	1.000000
94.009049	-11.170171	1.000000
96.009049	-11.170171	1.000000
98.009049	-11.170171	1.000000
100.009049	-11.170171	1.000000
102.009049	-11.170171	1.000000
104.009049	-11.170171	1.000000
106.009049	-11.170171	1.000000
108.009049	-11.170171	1.000000
110.009049	-11.170171	1.000000
112.009049	-11.170171	1.000000
114.009049	-11.170171	1.000000
116.009049	-11.170171	1.000000
118.009049	-11.170171	1.000000
120.009049	-11.170171	1.000000
122.009049	-11.170171	1.000000
124.009049	-11.170171	1.000000
126.009049	-11.170171	1.000000
128.009049	-11.170171	1.000000
130.009049	-11.170171	1.000000
132.009049	-11.170171	1.000000
134.009049	-11.170171	1.000000
136.009049	-11.170171	1.000000
138.009049	-11.170171	1.000000
140.009049	-11.170171	1.000000
142.009049	-11.170171	1.000000
144.009049	-11.170171	1.000000
146.009049	-11.170171	1.000000
148.009049	-11.170171	1.000000
150.009049	-11.170171	1.000000
152.009049	-11.170171	0.000000
154.009049	-11.170171	0.000000
156.009049	-11.170171	0.000000
10.009049	-9.170171	0.000000
12.009049	-9.170171	0.000000
14.009049	-9.170171	0.000000
16.009049	-9.170171	0.000000
18.009049	-9.170171	0.000000
20.009049	-9.170171	0.000000
22.009049	-9.170171	0.000000
24.009049	-9.170171	0.000000
26.009049	-9.170171	0.000000
28.009049	-9.170171	0.000000
30.009049	-9.170171	1.000000
32.009049	-9.170171	1.000000
34.009049	-9.170171	1.000000
36.009049	-9.170171	1.000000
38.009049	-9.170171	1.000000
40.009049	-9.170171	1.000000
42.009049	-9.170171	1.000000
44.009049	-9.170171	1.000000
46.009049	-9.170171	1.000000
48.009049	-9.170171	1.000000
50.009049	-9.170171	1.000000
52.009049	-9.170171	1.000000
54.009049	-9.170171	1.000000
56.009049	-9.170171	1.000000
58.009049	-9.170171	1.000000
60.009049	-9.170171	1.000000
62.009049	-9.170171	1.000000
64.009049	-9.170171	1.000000
66.009049	-9.170171	1.000000
68.009049	-9.170171	1.000000
70.009049	-9.170171	1.000000
72.009049	-9.170171	1.000000
74.009049	-9.170171	1.000000
76.009049	-9.170171	1.000000
78.009049	-9.170171	1.000000
80.009049	-9.170171	1.000000
82.009049	-9.170171	1.000000
84.009049	-9.170171	1.000000
86.009049	-9.170171	1.000000
88.009049	-9.170171	1.000000
90.009049	-9.170171	1.000000
92.009049	-9.170171	1.000000
94.009049	-9.170171	1.000000
96.009049	-9.170171	1.000000
98.009049	-9.170171	1.000000
100.009049	-9.170171	1.000000
102.009049	-9.170171	1.000000
104.009049	-9.170171	1.000000
106.009049	-9.170171	1.000000
108.009049	-9.170171	1.000000
110.009049	-9.170171	1.000000
112.009049	-9.170171	1.000000
114.009049	-9.170171	1.000000
116.009049	-9.170171	1.000000
118.009049	-9.170171	1.000000
120.009049	-9.170171	1.000000
122.009049	-9.170171	1.000000
124.009049	-9.170171	1.000000
126.009049	-9.170171	1.000000
128.009049	-9.170171	1.000000
130.009049	-9.170171	1.000000
132.009049	-9.170171	1.000000
134.009049	-9.170171	1.000000
136.009049	-9.170171	1.000000
138.009049	-9.170171	1.000000
140.009049	-9.170171	1.000000
142.009049	-9.170171	1.000000
144.009049	-9.170171	1.000000
146.009049	-9.170171	1.000000
148.009049	-9.170171	1.000000
150.009049	-9.170171	1.000000
152.009049	-9.170171	0.000000
154.009049	-9.170171	0.000000
156.009049	-9.170171	0.000000
10.009049	-7.170171	0.000000
12.009049	-7.170171	0.000000
14.009049	-7.170171	0.000000
16.009049	-7.170171	0.000000
18.009049	-7.170171	0.000000
20.009049	-7.170171	0.000000
22.009049	-7.170171	0.000000
24.009049	-7.170171	0.000000
26.009049	-7.170171	0.000000
28.009049	-7.170171	0.000000
30.009049	-7.170171	1.000000
32.009049	-7.170171	1.000000
34.009049	-7.170171	1.000000
36.009049	-7.170171	1.000000
38.009049	-7.170171	1.000000
40.009049	-7.170171	1.000000
42.009049	-7.170171	1.000000
44.009049	-7.170171	1.000000
46.009049	-7.170171	1.000000
48.009049	-7.170171	1.000000
50.009049	-7.170171	1.000000
52.009049	-7.170171	1.000000
54.009049	-7.170171	1.000000
56.009049	-7.170171	1.000000
58.009049	-7.170171	1.000000
60.009049	-7.170171	1.000000
62.009049	-7.170171	1.000000
64.009049	-7.170171	1.000000
66.009049	-7.170171	1.000000
68.009049	-7.170171	1.000000
70.009049	-7.170171	1.000000
72.009049	-7.170171	1.000000
74.009049	-7.170171	1.000000
76.009049	-7.170171	1.000000
78.009049	-7.170171	1.000000
80.009049	-7.170171	1.000000
82.009049	-7.170171	1.000000
84.009049	-7.170171	1.000000
86.009049	-7.170171	1.000000
88.009049	-7.170171	1.000000
90.009049	-7.170171	1.000000
92.009049	-7.170171	1.000000
94.009049	-7.170171	1.000000
96.009049	-7.170171	1.000000
98.009049	-7.170171	1.000000
100.009049	-7.170171	1.000000
102.009049	-7.170171	1.000000
104.009049	-7.170171	1.000000
106.009049	-7.170171	1.000000
108.009049	-7.170171	1.000000
110.009049	-7.170171	1.000000
112.009049	-7.170171	1.000000
114.009049	-7.170171	1.000000
116.009049	-7.170171	1.000000
118.009049	-7.170171	1.000000
120.009049	-7.170171	1.000000
122.009049	-7.170171	1.000000
124.009049	-7.170171	1.000000
126.009049	-7.170171	1.000000
128.009049	-7.170171	1.000000
130.009049	-7.170171	1.000000
132.009049	-7.170171	1.000000
134.009049	-7.170171	1.000000
136.009049	-7.170171	1.000000
138.009049	-7.170171	1.000000
140.009049	-7.170171	1.000000
142.009049	-7.170171	1.000000
144.009049	-7.170171	1.000000
146.009049	-7.170171	1.000000
148.009049	-7.170171	1.000000
150.009049	-7.170171	1.000000
152.009049	-7.170171	0.000000
154.009049	-7.170171	0.000000
156.009049	-7.170171	0.000000
10.009049	-5.170171	0.000000
12.009049	-5.170171	0.000000
14.009049	-5.170171	0.000000
16.009049	-5.170171	0.000000
18.009049	-5.170171	0.000000
20.009049	-5.170171	0.000000
22.009049	-5.170171	0.000000
24.009049	-5.170171	0.000000
26.009049	-5.170171	0.000000
28.009049	-5.170171	0.000000
30.009049	-5.170171	1.000000
32.009049	-5.170171	1.000000
34.009049	-5.170171	1.000000
36.009049	-5.170171	1.000000
38.009049	-5.170171	1.000000
40.009049	-5.170171	1.000000
42.009049	-5.170171	1.000000
44.009049	-5.170171	1.000000
46.009049	-5.170171	1.000000
48.009049	-5.170171	1.000000
50.009049	-5.170171	1.000000
52.009049	-5.170171	1.000000
54.009049	-5.170171	1.000000
56.009049	-5.170171	1.000000
58.009049	-5.170171	1.000000
60.009049	-5.170171	1.000000
62.009049	-5.170171	1.000000
64.009049	-5.170171	1.000000
66.009049	-5.170171	1.000000
68.009049	-5.170171	1.000000
70.009049	-5.170171	1.000000
72.009049	-5.170171	1.000000
74.009049	-5.170171	1.000000
76.009049	-5.170171	1.000000
78.009049	-5.170171	1.000000
80.009049	-5.170171	1.000000
82.009049	-5.170171	1.000000
84.009049	-5.170171	1.000000
86.009049	-5.170171	1.000000
88.009049	-5.170171	1.000000
90.009049	-5.170171	1.000000
92.009049	-5.170171	1.000000
94.009049	-5.170171	1.000000
96.009049	-5.170171	1.000000
98.009049	-5.170171	1.000000
100.009049	-5.170171	1.000000
102.009049	-5.170171	1.000000
104.009049	-5.170171	1.000000
106.009049	-5.170171	1.000000
108.009049	-5.170171	1.000000
110.009049	-5.170171	1.000000
112.009049	-5.170171	1.000000
114.009049	-5.170171	1.000000
116.009049	-5.170171	1.000000
118.009049	-5.170171	1.000000
120.009049	-5.170171	1.000000
122.009049	-5.170171	1.000000
124.009049	-5.170171	1.000000
126.009049	-5.170171	1.000000
128.009049	-5.170171	1.000000
130.009049	-5.170171	1.000000
132.009049	-5.170171	1.000000
134.009049	-5.170171	1.000000
136.009049	-5.170171	1.000000
138.009049	-5.170171	1.000000
140.009049	-5.170171	1.000000
142.009049	-5.170171	1.000000
144.009049	-5.170171	1.000000
146.009049	-5.170171	1.000000
148.009049	-5.170171	1.000000
150.009049	-5.170171	1.000000
152.009049	-5.170171	0.000000
154.009049	-5.170171	0.000000
156.009049	-5.170171	0.000000
10.009049	-3.170171	0.000000
12.009049	-3.170171	0.000000
14.009049	-3.170171	0.000000
16.009049	-3.170171	0.000000
18.009049	-3.170171	0.000000
20.009049	-3.170171	0.000000
22.009049	-3.170171	0.000000
24.009049	-3.170171	0.000000
26.009049	-3.170171	0.000000
28.009049	-3.170171	0.000000
30.009049	-3.170171	1.000000
32.009049	-3.170171	1.000000
34.009049	-3.170171	1.000000
36.009049	-3.170171	1.000000
38.009049	-3.170171	1.000000
40.009049	-3.170171	1.000000
42.009049	-3.170171	1.000000
44.009049	-3.170171	1.000000
46.009049	-3.170171	1.000000
48.009049	-3.170171	1.000000
50.009049	-3.170171	1.000000
52.009049	-3.170171	1.000000
54.009049	-3.170171	1.000000
56.009049	-3.170171	1.000000
58.009049	-3.170171	1.000000
60.009049	-3.170171	1.000000
62.009049	-3.170171	1.000000
64.009049	-3.170171	1.000000
66.009049	-3.170171	1.000000
68.009049	-3.170171	1.000000
70.009049	-3.170171	1.000000
72.009049	-3.170171	1.000000
74.009049	-3.170171	1.000000
76.009049	-3.170171	1.000000
78.009049	-3.170171	1.000000
80.009049	-3.170171	1.000000
82.009049	-3.170171	1.000000
84.009049	-3.170171	1.000000
86.009049	-3.170171	1.000000
88.009049	-3.170171	1.000000
90.009049	-3.170171	1.000000
92.009049	-3.170171	1.000000
94.009049	-3.170171	1.000000
96.009049	-3.170171	1.000000
98.009049	-3.170171	1.000000
100.009049	-3.170171	1.000000
102.009049	-3.170171	1.000000
104.009049	-3.170171	1.000000
106.009049	-3.170171	1.000000
108.009049	-3.170171	1.000000
110.009049	-3.170171	1.000000
112.009049	-3.170171	1.000000
114.009049	-3.170171	1.000000
116.009049	-3.170171	1.000000
118.009049	-3.170171	1.000000
120.009049	-3.170171	1.000000
122.009049	-3.170171	1.000000
124.009049	-3.170171	1.000000
126.009049	-3.170171	1.000000
128.009049	-3.170171	1.000000
130.009049	-3.170171	1.000000
132.009049	-3.170171	1.000000
134.009049	-3.170171	1.000000
136.009049	-3.170171	1.000000
138.009049	-3.170171	1.000000
140.009049	-3.170171	1.000000
142.009049	-3.170171	1.000000
144.009049	-3.170171	1.000000
146.009049	-3.170171	1.000000
148.009049	-3.170171	1.000000
150.009049	-3.170171	0.000000
152.009049	-3.170171	0.000000
154.009049	-3.170171	0.000000
156.009049	-3.170171	0.000000
10.009049	-1.170171	0.000000
12.009049	-1.170171	0.000000
14.009049	-1.170171	0.000000
16.009049	-1.170171	0.000000
18.009049	-1.170171	0.000000
20.009049	-1.170171	0.000000
22.009049	-1.170171	0.000000
24.009049	-1.170171	0.000000
26.009049	-1.170171	0.000000
28.009049	-1.170171	0.000000
30.009049	-1.170171	1.000000
32.009049	-1.170171	1.000000
34.009049	-1.170171	1.000000
36.009049	-1.170171	1.000000
38.009049	-1.170171	1.000000
40.009049	-1.170171	1.000000
42.009049	-1.170171	1.000000
44.009049	-1.170171	1.000000
46.009049	-1.170171	1.000000
48.009049	-1.170171	1.000000
50.009049	-1.170171	1.000000
52.009049	-1.170171	1.000000
54.009049	-1.170171	1.000000
56.009049	-1.170171	1.000000
58.009049	-1.170171	1.000000
60.009049	-1.170171	1.000000
62.009049	-1.170171	1.000000
64.009049	-1.170171	1.000000
66.009049	-1.170171	1.000000
68.009049	-1.170171	1.000000
70.009049	-1.170171	1.000000
72.009049	-1.170171	1.000000
74.009049	-1.170171	1.000000
76.009049	-1.170171	1.000000
78.009049	-1.170171	1.000000
80.009049	-1.170171	1.000000
82.009049	-1.170171	1.000000
84.009049	-1.170171	1.000000
86.009049	-1.170171	1.000000
88.009049	-1.170171	1.000000
90.009049	-1.170171	1.000000
92.009049	-1.170171	1.000000
94.009049	-1.170171	1.000000
96.009049	-1.170171	1.000000
98.009049	-1.170171	1.000000
100.009049	-1.170171	1.000000
102.009049	-1.170171	1.000000
104.009049	-1.170171	1.000000
106.009049	-1.170171	1.000000
108.009049	-1.170171	1.000000
110.009049	-1.170171	1.000000
112.009049	-1.170171	1.000000
114.009049	-1.170171	1.000000
116.009049	-1.170171	1.000000
118.009049	-1.170171	1.000000
120.009049	-1.170171	1.000000
122.009049	-1.170171	1.000000
124.009049	-1.170171	1.000000
126.009049	-1.170171	1.000000
128.009049	-1.170171	1.000000
130.009049	-1.170171	1.000000
132.009049	-1.170171	1.000000
134.009049	-1.170171	1.000000
136.009049	-1.170171	1.000000
138.009049	-1.170171	1.000000
140.009049	-1.170171	1.000000
142.009049	-1.170171	1.000000
144.009049	-1.170171	1.000000
146.009049	-1.170171	1.000000
148.009049	-1.170171	1.000000
150.009049	-1.170171	0.000000
152.009049	-1.170171	0.000000
154.009049	-1.170171	0.000000
156.009049	-1.170171	0.000000
10.009049	0.829829	0.000000
12.009049	0.829829	0.000000
14.009049	0.829829	0.000000
16.009049	0.829829	0.000000
18.009049	0.829829	0.000000
20.009049	0.829829	0.000000
22.009049	0.829829	0.000000
24.009049	0.829829	0.000000
26.009049	0.829829	0.000000
28.009049	0.829829	0.000000
30.009049	0.829829	0.000000
32.009049	0.829829	1.000000
34.009049	0.829829	1.000000
36.009049	0.829829	1.000000
38.009049	0.829829	1.000000
40.009049	0.829829	1.000000
42.009049	0.829829	1.000000
44.009049	0.829829	1.000000
46.009049	0.829829	1.000000
48.009049	0.829829	1.000000
50.009049	0.829829	1.000000
52.009049	0.829829	1.000000
54.009049	0.829829	1.000000
56.009049	0.829829	1.000000
58.009049	0.829829	1.000000
60.009049	0.829829	1.000000
62.009049	0.829829	1.000000
64.009049	0.829829	1.000000
66.009049	0.829829	1.000000
68.009049	0.829829	1.000000
70.009049	0.829829	1.000000
72.009049	0.829829	1.000000
74.009049	0.829829	1.000000
